survey,IDW_median_10000.tif,NaturalNeighbor_median_10000.tif,RBF_median_10000.tif,TIN_median_10000.tif,isoKrige_AIC_median_detrended_pred_10000.tif,isoKrige_AIC_median_pred_10000.tif
BA_01_KBB_20210427_CS,0.19998228455358447,0.2200848409858272,0.2238311621196567,0.2076789657260339,0.19300127860697897,0.34417261388809106
BH_04_TCE_20210421_CS,0.32801096832678484,0.3814134021520007,0.3946235965176842,0.35157965209624925,0.3817307313991466,0.32530519802996344
BH_04_TCE_20210820_CS,0.20872877398725345,0.24379777462631586,0.33240306824655863,0.22828391427574948,0.2749476470711941,0.2091147604300685
BH_06_TCR_20210304_CS,0.1922614898865776,0.21346073121535322,0.41957918445514325,0.2171028671102818,0.29316627859704025,0.19078495469818788
CELRB_DIS_LB_02_ASH_20240422_OT_SUBMERGEDWALL,0.6809053985496532,0.7494800822379791,0.6662621699680756,0.712613597001278,0.6724330717291371,0.6924904573300374
CELRB_DIS_LB_02_ASH_20250702_BD_099TO146,0.5276126890963182,0.3703377876792505,0.6642366384886611,0.3897616710570901,0.6819597175580789,0.701028862664592
CELRB_DIS_LB_02_ASH_20250805_AD_003ATO022A,0.5283069336378378,0.3919913696351156,0.6265090130410549,0.4073765351161922,0.6545670752580364,0.6709333234960125
CELRB_DIS_LB_03_TOL_20240724_CS_715TO928,0.7072116070365129,0.572300954703023,0.7603267005245882,0.5554121443085132,1.008333556771347,1.011820869478908
CELRB_DIS_LB_03_TOL_20240906_CS_FULLSURVEY,1.5329723680253056,0.9925952128663136,1.1404936961974885,1.1268422239125455,1.9437029494632045,2.124257738372733
CELRB_DIS_LB_03_TOL_20250707_CS_1303TO1334,0.12627182295108125,0.1078437081289308,0.1811309698615898,0.11116421213883239,0.14842471634366627,0.14345686009718192
CELRB_DIS_LB_03_TOL_20250708_CS_950TO1150,0.33619652019461443,0.27506019004209065,0.43168847591871085,0.28159669923436104,0.4228113261101738,0.4228849818658313
CELRB_DIS_LB_03_TOL_20251119_AD_353TO375,0.72134531550167,0.6074299285299409,1.429512763063079,0.6182869514605188,0.7253019180226006,0.8272073787066595
CELRB_DIS_LB_05_CUY_20250612_AD_248TO265,1.4710954829900735,1.6589535395951336,3.0424543292220108,1.5765216881415984,1.4880346684605863,1.4899195120681945
CELRB_DIS_LB_06_BUF_20240930_OT_NORTHBREAKWALLABOVE,1.5258559891916774,1.7393204926189396,2.169100081023252,1.62111828900281,1.4993386831214623,1.6159860185113093
CELRB_DIS_LB_06_BUF_20241002_OT_OLDBREAKWALL,0.7850721356255416,0.7017224688829471,0.9662306645012584,0.7086792771929187,0.6991884171891891,0.9244038468181697
CELRB_DIS_LB_06_BUF_20241007_OT_SOUTHBREAKWALL1,0.9496870719111343,0.8842289297047469,1.199931416434299,0.8817830277985654,1.0631861336740547,1.085617648134904
CELRB_DIS_LB_06_BUF_20241008_OT_NORTHBREAKWALL,0.7137067100261301,0.7143003606779416,1.0483566534428754,0.7062965366188461,0.6963002945293221,0.7429227396980232
CELRB_DIS_LB_06_BUF_20241017_OT_SOUTHBREAKWALL2,0.7536813602147413,0.6713579414759581,1.0099230350879416,0.6792596502676697,0.8506678390159998,0.8564524579436257
CELRB_DIS_LB_06_BUF_20241021_OT_204SLIPPING,0.8990903282321978,0.9297306251950709,1.3282992006723697,0.9036362818028955,0.9438764802023798,0.9007682864326727
CELRB_DIS_LB_06_BUF_20250902_CS_000TO015AND000ATO026A,0.31347078626225694,0.2817783369320835,0.382439921351712,0.28729472257592054,0.3054214494302646,0.2993694706606746
CELRB_DIS_LB_06_BUF_20250910_CS_000BTO039B,0.2575162020651129,0.18516544755492562,0.31997180238435075,0.19680655264757893,0.32414350330304625,0.1833516191491043
CELRB_DIS_LB_07_BFR_20250506_OT_275TO288SOUTHWALL,1.4398225701830456,1.624327769765306,1.9890785597585083,1.5090892796713722,1.4833481874539325,1.533405553922864
CELRB_DIS_LB_08_BRC_20240720_CS_698TO710,0.29538599992653775,0.2328836569994633,0.35776103858306585,0.240796890521987,0.3572991970336468,0.3659891757262538
CELRB_DIS_LB_08_BRC_20250804_CS_520TO580,0.2691288122377672,0.23003179044590505,0.275165836452714,0.23735716553051117,0.23050590107823563,0.3130389946487983
CELRB_DIS_LB_08_BRC_20250813_CS_FULLSURVEY,1.2469135173155872,0.7698270530196273,0.8593133787985674,0.8844762619588343,1.7255098951834003,1.725807744480477
CELRB_DIS_LB_09_CON_20250626_CS_030TO050,0.35324008538850077,0.2768350049635057,0.551221981582793,0.28392472222001724,0.32660351264234944,0.4099508585740718
CELRB_DIS_LB_09_CON_20250818_CS_FULLSURVEY,0.6932043956658157,0.546669122530704,0.6497843172077344,0.5686591034545423,0.8729626099666116,0.8886178016388
CELRB_DIS_LB_10_FPT_20240913_OT_EASTWALL,1.3797102526999794,1.360692999888501,1.669323137095495,1.3367163021979327,1.3289544315874375,1.3159429783289267
CELRB_DIS_LB_11_LOR_20250623_BD_157TO175,0.35263944697704,0.31121824432891176,0.3553534253023288,0.3030050419971558,0.3142626826525322,0.4471585817018758
CELRB_DIS_LB_13_ERI_20240624_AD_032TO054,0.4132189099841701,0.3515324692818892,0.5507190754037932,0.3600276346104831,0.4290180541285737,0.4924842345395268
CELRB_DIS_LB_13_ERI_20240904_OT_DISPOSALAREA,0.26302479643802174,0.2056652503551223,0.21006340237806703,0.22061460824043724,0.2143627802819078,0.2146241125463877
CELRB_DIS_LB_15_VER_20240625_BD_ALL,0.5694612441856319,0.5676411404206256,1.0592004385791427,0.5448282210343329,0.6365511562837347,0.5382385498754857
CELRB_DIS_LB_15_VER_20240806_AD_017TO047AND00ATO09A,0.40081919738764854,0.3875684507367484,0.9460168562312958,0.37658657451829736,0.4506990010294705,0.46249146581830497
CELRB_DIS_LB_15_VER_20240912_CS_FULLSURVEY,0.4823658238991021,0.44457100490391044,0.7628634973887666,0.4437934047920972,0.5789381133256847,0.4301368777058251
CELRB_DIS_LB_17_ROC_20241104_CS_163TO212,0.07291124416386603,0.06442814187180862,0.11295980240837282,0.06521429583880202,0.0829199356880745,587499.1908734159
CELRB_DIS_LB_17_ROC_20241106_OT_110TO165BREAKWALLS,1.0804931889172193,1.0024460604086822,2.5701667874146747,1.0146368878622165,1.2501903453084855,1.2432984855056024
CELRB_DIS_LB_17_ROC_20241118_OT_BREAKWALLSTURNINGBASIN,2.942835389745667,5.226385308942763,6.446344026636044,3.5541274479097447,3.786447877968448,3.244124388232131
CELRB_DIS_LB_24_LSB_20250903_CS_ALL,0.16499022568521082,0.18392075278932463,0.2532886299039533,0.15286340239752982,0.1446787312968879,0.19935550261354543
CELRB_DIS_LB_33_OGB_20231031_CS_021ATO056AAND000BTO036B,0.635288087896211,0.3975102296191727,0.6563526182050681,0.43879651887946847,0.8819961324590042,0.7636907283050169
CENWP_DIS_WR_04_B2M_20240508_CS,1.769023408658504,1.3428923290681472,1.9224293132864287,1.3889304709932175,1.502546035708372,1.9020057049396526
CESAM_TTW_TT_01_DEM_20250930_CS_31,0.499276930704559,0.5340088029911098,0.6454327938101797,0.5213706625899047,0.5366460996805055,0.4885243521005783
CESAW_DIS_BH_01_BH1_20250923_BD,0.5412218825660784,0.9303510177663028,0.7452116100743033,0.6434080078054519,2.8180239225825674,0.5560183409507464
CESAW_DIS_BH_01_BH3_20230607_CS,0.3701097814081324,0.432238179167071,0.7974043207097798,0.41103987655793034,0.4727786022432816,0.4699572434240554
CESAW_DIS_BH_04_TCE_20240801_CS,0.2649666231301489,0.31028764962008315,0.38312538134977453,0.28830058012725757,0.26855620768040467,0.32912743840388936
CESAW_DIS_IA_04_R12_20251030_CS,0.14574469259219933,0.19955461018903844,0.19376535775187678,0.19267946253426882,0.14649466144775225,0.13970859955215226
CESAW_DIS_IN_03_BOG_20230503_CS,0.46406175812013467,0.41485608949951785,0.5654995234800138,0.4111723469195399,0.4903883649440655,0.750606123981059
CESAW_DIS_IN_04_NRC_20230124_AD,0.3882181795917035,0.4007820828019078,0.4941798731446879,0.3902855980861621,0.5954247362130344,0.46901821445060493
CESAW_DIS_IN_04_NRI_20230417_CS,0.5486356600192673,0.5452031582999571,0.5641717939303692,0.49977574378908235,1.1925719336871907,1.1615952213262826
CESAW_DIS_IN_04_NRI_20240625_OT,0.39452237261832573,0.555023987252725,0.4706319057795254,0.4506875113428447,0.3793661408689429,0.3782792446863674
CESAW_DIS_IN_04_NRI_20240917_CS,0.8743595035775781,0.5423528262028653,0.6676568006568633,0.552658923372871,1.6557031191396214,1.6486997121577962
CESAW_DIS_IN_05_NTI_20230221_AD,0.7574611547596798,0.5906028241989019,0.7737792049353156,0.5890171625332429,1.3202420594644642,1.1326329646817404
CESAW_DIS_IN_07_MAS_20250430_CS,0.3363852151947271,0.3089978521561995,0.6792495429588207,0.3122886557579976,0.49982254958171896,0.5870151025225625
