survey,density,depth_cv,anisotropy
LB_10_FPT_20240910_AD_098TO127,0.08922441921554682,0.19130461,0.6820651411752802
IN_05_NTI_20230418_CS,0.004963013811154844,0.5712639,0.5505067939952591
PA_04_WOD_20220616_CS,0.0014665281813801597,0.073364176,0.7484135344045473
RC_01_ROL_20230706_AD,0.08405707486742224,0.44528565,0.8707001733187268
SH_12_CBS_20241003_CS,0.03712939752203228,0.513488,0.9996025907263875
IN_09_CBI_20251009_BD,0.005544798472988857,0.84767014,0.7049692482934885
IN_04_NRC_20230201_AD,0.029291615553869773,0.21051987,0.9940911239688263
IN_10_LFI_20221031_BD,0.00517514260733148,0.56872255,0.1910389830398535
BH_04_TCE_20210421_CS,0.038015117934356746,0.44680554,0.38926232482351897
LB_10_FPT_20250714_AD_080TO110,0.0883972839410074,0.15736996,0.9101354914114003
LB_35_PUL_20240625_CS_ALL,0.06853053801843041,0.2904011,0.6213559286438931
WH_20_UBI_20251223_BD,0.05187329380828498,0.4160654,0.842216225319615
IN_09_CBI_20230717_CS,0.008341366368900335,0.7466868,0.8742884440742161
LB_33_OGB_20241024_CS_ALL,0.0014646255342069443,0.35376066,0.8632425101883234
WH_03_BH2_20230531_CS,0.031043529475571395,0.3095397,0.790753615742874
MC_05_INN_20240325_AD,0.033505110145787345,0.25624982,0.11190380082210151
MN_30_OIE_20240227_OT,0.10893064553849048,0.12529925,0.1308617127654443
IN_09_CBI_20230329_AD,0.008135460011959382,0.4774755,0.657037775602277
LB_12_SAN_20240805_OT_SANDUSKYDISPOSAL,0.0010361992230706384,0.06194016,0.5683678442697568
IN_03_BOG_20251113_CS,0.002853316982285263,0.72827417,0.5983755554761003
LB_09_CON_20240618_BD_000TO047,0.06378233835829462,0.1361558,0.6540589669691601
BH_04_TCE_20210820_CS,0.033434443490465614,0.4485881,0.2672322069503377
MC_01_RGA_20240821_CS,0.030105552460018194,0.020463668,0.9926704159676758
RC_03_HTR_20230817_CS,0.011670945723242173,0.44564074,0.4473145184752964
RC_03_HTR_20210629_CS,0.04329712333177268,0.22592817,0.894160239617101
WH_25_ANC_20240226_BD,0.02078734667421714,0.16761792,0.7335036031429057
WH_22_UBR_20220527_AD,0.020964799002973458,0.3614093,0.6100132350282585
GH_03_GAB_20250807_CS,0.00033349563891198176,0.16456617,0.8405475805530479
LB_06_BUF_20241003_OT_OLDBREAKWALLNABOVE,0.03158352958638608,0.49590653,0.8615426151691725
SL_02_TCH_20240117_CS,0.014954203631072357,0.4173774,0.7764164024989557
MC_05_INN_20251118_CS,0.04339456864653328,0.29361334,0.49790247666321774
LB_03_TOL_20251119_AD_353TO375,0.09912888916887194,0.28108835,0.8392899196641838
RC_04_HAT_20210722_CS,0.020545664652721226,0.5886025,0.9481409324744192
RC_04_HAT_20210330_CS,0.06409310563159444,0.7022832,0.9575150216393074
