560736.20 622502.71 39.5
560736.76 622541.56 38.6
560737.77 622576.33 39.5
560738.76 622651.63 37.8
560741.15 622970.00 35.3
560743.97 622695.89 37.4
560744.20 622730.57 35.6
560745.94 622927.81 35.5
560745.65 623356.55 36.0
560750.67 623316.62 37.2
560755.36 622794.25 33.8
560754.57 622876.96 35.4
560755.75 623286.40 38.5
560756.02 622759.57 34.7
560760.74 622843.23 35.1
560766.02 623236.63 39.8
560778.85 623106.02 39.2
560779.51 623308.12 38.5
560783.57 623360.98 37.0
560797.68 623185.29 40.2
560798.50 623151.76 39.7
560799.13 623276.30 39.0
560800.86 623329.32 37.6
560811.43 623214.03 39.4
560817.20 623303.83 38.5
560821.40 623127.32 40.8
560819.57 623243.79 38.8
560820.98 623351.86 36.5
560830.13 623272.89 38.2
560832.92 623402.09 36.5
560839.87 623086.80 39.8
560844.34 622181.91 41.2
560843.19 623322.30 37.7
560845.81 623370.72 37.0
560848.54 623011.01 39.8
560851.46 623165.37 39.9
560849.72 623195.62 39.6
560851.62 623242.61 39.0
560853.23 623057.76 39.1
560852.67 623114.39 40.1
560852.96 623425.18 37.2
560856.57 623291.56 38.4
560862.91 622779.02 37.4
560866.74 622529.91 39.2
560866.51 623347.89 38.0
560865.66 623395.10 38.1
560868.78 623140.54 40.1
560872.09 622342.77 40.6
560872.26 622808.06 36.6
560872.16 622839.42 36.7
560872.49 622893.66 37.8
560871.89 623086.34 39.9
560871.04 623219.15 39.7
560873.70 622088.47 45.3
560875.57 622986.14 38.3
560873.93 623316.33 38.5
560876.82 622158.65 43.2
560877.31 622310.29 40.8
560877.41 622648.84 37.5
560876.45 622682.63 37.5
560877.18 622923.94 37.5
560878.13 622954.94 37.0
560877.83 623020.66 38.7
560880.10 622123.74 44.4
560879.93 622445.53 39.4
560880.29 622586.41 39.0
560881.24 622713.28 38.0
560882.23 622280.01 40.7
560884.13 623050.09 39.5
560883.64 623170.26 40.2
560884.26 623273.54 39.2
560883.48 623419.74 38.9
560886.46 622248.09 41.8
560885.58 622374.99 40.3
560886.95 622617.64 38.4
560887.54 623371.87 39.1
560889.81 621925.71 41.7
560889.22 622413.74 40.0
560889.55 622868.10 39.4
560892.37 622041.69 45.3
560892.99 622212.26 42.4
560892.63 622748.35 37.5
560894.60 622778.70 38.6
560894.60 623120.20 40.4
560894.96 623199.99 39.7
560895.94 623239.65 40.1
560895.84 623340.47 39.6
560898.90 621895.66 39.7
560898.01 621990.02 41.6
560898.76 622179.42 42.8
560898.93 622532.11 39.2
560901.45 622071.91 47.6
560902.24 622348.32 42.8
560900.73 622830.20 40.0
560900.47 623076.53 40.3
560902.57 623300.15 39.8
560905.33 622672.59 38.3
560904.51 622969.54 40.1
560905.16 623002.38 40.9
560907.89 622310.55 44.0
560906.41 622488.57 39.5
560908.77 622596.74 39.5
560907.10 622640.61 38.0
560907.43 622918.20 40.8
560907.33 623147.59 42.7
560907.79 623397.39 40.6
560909.46 621802.35 37.9
560911.40 621862.59 38.4
560910.51 622266.69 43.3
560911.20 622453.40 39.5
560910.74 622704.75 38.4
560911.72 623038.05 41.6
560914.58 621752.65 37.9
560913.79 621964.36 40.0
560912.15 622149.92 42.2
560912.68 622888.18 44.0
560914.51 623264.39 40.5
560919.27 621919.18 39.5
560919.79 622115.80 43.8
560918.61 622230.86 44.3
560919.07 622418.07 41.7
560919.89 622734.63 40.7
560919.79 623217.74 40.7
560920.65 623359.24 40.9
560922.19 621700.06 37.8
560922.12 622032.77 44.5
560922.78 622765.60 41.2
560922.58 622809.47 40.7
560922.29 622944.61 41.6
560921.99 623186.93 41.6
560922.81 623326.27 40.6
560926.26 622548.09 39.9
560925.96 623422.43 42.0
560927.34 621834.14 38.1
560929.24 621889.72 38.3
560927.93 622002.06 40.5
560928.75 622845.30 42.2
560929.67 623088.67 45.2
560930.92 622079.81 45.6
560930.72 622184.44 43.2
560931.05 622359.27 44.3
560932.29 622621.05 38.9
560932.72 623290.96 40.7
560934.85 622473.81 39.3
560934.36 622518.92 39.6
560934.62 622652.88 39.5
560933.21 622989.92 44.8
560938.40 621945.66 37.6
560938.66 622283.16 47.0
560937.68 622682.99 40.1
560938.36 622911.60 43.7
560936.53 623121.51 43.5
560936.43 623157.40 44.0
560937.71 623384.83 42.4
560940.46 622252.84 45.7
560940.60 622388.67 43.0
560940.23 622443.07 41.4
560939.02 623241.49 41.8
560944.53 621630.11 36.5
560943.25 621975.78 37.9
560942.40 622212.55 44.1
560942.99 623044.87 43.8
560946.86 621865.41 37.7
560947.22 622054.62 41.0
560946.80 622158.78 41.2
560946.83 622332.63 45.5
560945.94 622570.85 39.7
560945.19 622712.09 41.0
560948.63 622106.42 40.4
560949.58 622964.03 42.7
560949.22 623346.35 43.0
560953.69 621533.95 34.1
560952.28 621718.89 38.4
560952.44 622024.89 39.5
560951.45 622775.84 42.2
560951.91 623210.55 42.7
560952.70 623314.42 42.8
560955.36 621601.14 35.7
560955.42 621763.01 38.4
560956.05 621795.72 38.1
560954.18 621917.94 37.0
560955.42 623266.82 42.6
560957.89 621483.26 34.1
560957.26 622603.66 39.8
560957.52 622805.89 41.2
560959.03 622934.53 42.2
560959.66 623014.36 44.1
560961.20 621571.35 34.6
560962.15 622304.06 45.5
560965.79 621840.80 37.9
560963.17 622132.83 38.8
560963.89 622360.36 44.0
560965.40 622736.67 42.1
560963.63 622835.32 42.0
560967.60 621954.91 36.3
560967.43 622189.36 39.7
560966.68 623111.14 44.4
560966.84 623166.65 44.6
560968.88 621997.04 36.6
560970.39 622074.79 39.5
560970.12 622224.92 42.1
560970.98 622257.80 43.9
560970.68 622389.65 42.1
560968.91 622452.22 39.4
560971.73 622689.78 40.9
560969.01 622874.69 42.5
560971.66 623055.93 45.8
560969.99 623237.26 43.1
560973.27 621456.68 34.5
560972.16 621694.18 37.8
560971.96 622422.30 40.4
560972.71 622484.60 39.4
560971.83 622530.50 39.1
560973.11 622629.71 38.8
560972.48 622986.08 42.9
560976.26 621403.93 34.9
560976.52 621663.44 37.1
560975.04 621739.92 38.1
560976.32 621895.86 37.3
560977.50 622659.50 40.6
560975.14 622906.48 41.6
560974.91 623404.19 43.5
